City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
126,jolo,6.05,121.0167,30.61,66,100,1.18,PH
127,san miguel panixtlahuaca,16.2484,-97.3843,21.01,85,48,2.2,MX
128,kangding,30.0513,101.9603,19.02,40,0,0.12,CN
129,farshut,26.0549,32.1633,24.36,22,3,1.85,EG
130,tamandare,-8.7597,-35.1047,25.17,87,84,2.35,BR
131,vilyuchinsk,52.9306,158.4028,7.15,86,56,2.6,RU
132,gonzalez,30.5816,-87.2914,21.97,73,39,1.61,US
133,suoyarvi,62.0833,32.35,0.0,97,100,2.59,RU
134,fredonia,42.4401,-79.3317,7.9,89,100,2.06,US
135,ancud,-41.8697,-73.8203,9.24,91,59,0.43,CL
136,ozernyy,55.5802,32.4127,1.47,75,18,1.68,RU
137,mitu,1.1983,-70.1733,22.84,98,85,0.35,CO
138,curillo,1.0333,-75.9191,22.81,97,100,0.67,CO
139,dunedin,-45.8742,170.5036,19.48,98,0,0.89,NZ
140,sarakhs,36.5449,61.1577,17.2,73,48,9.02,IR
141,kampung tanjung karang,3.4242,101.1849,31.44,87,100,1.66,MY
142,balykshi,47.0667,51.8667,15.0,77,75,7.0,KZ
143,hamilton,39.1834,-84.5333,11.69,69,0,4.12,US
144,hasaki,35.7333,140.8333,25.16,63,0,7.84,JP
145,devils lake,48.1128,-98.8651,18.99,44,0,5.66,US
146,edinburgh of the seven seas,-37.0676,-12.3116,17.53,86,100,8.99,SH
147,kargasok,59.0556,80.8572,10.28,49,100,4.81,RU
148,luchegorsk,46.4764,134.2569,12.35,89,100,4.45,RU
149,walvis bay,-22.9575,14.5053,15.43,76,37,3.17,NA
150,nemuro,43.3236,145.575,10.84,70,56,2.61,JP
151,alibag,18.6411,72.8792,27.04,69,93,0.76,IN
152,santa ana,33.7456,-117.8678,17.01,63,75,4.63,US
153,port saint john's,-31.6229,29.5448,18.11,89,0,2.49,ZA
154,west sayville,40.7279,-73.0976,11.15,80,100,4.12,US
155,georgetown,5.4112,100.3354,29.96,81,20,1.54,MY
156,richards bay,-28.783,32.0377,18.99,93,65,1.49,ZA
157,mejit,10.2753,170.8646,27.2,78,86,7.62,MH
158,udachny,66.4167,112.4,3.03,51,99,6.35,RU
159,saint-pierre,-21.3393,55.4781,21.43,68,75,3.09,RE
160,kone,-21.0595,164.8658,28.28,69,41,2.15,NC
161,severo-yeniseyskiy,60.3725,93.0408,2.74,82,100,2.51,RU
162,meadow lake,34.8014,-106.5436,23.37,24,100,2.98,US
163,kudahuvadhoo,2.6708,72.8944,26.43,88,100,9.73,MV
164,sao joao da barra,-21.6403,-41.0511,22.39,85,1,0.86,BR
165,talnakh,69.4865,88.3972,-0.81,95,100,5.38,RU
166,anloga,5.7947,0.8973,27.99,77,83,2.93,GH
167,trongsa,27.5026,90.5072,14.25,79,57,0.92,BT
168,khatima,28.9167,79.9667,23.2,64,42,1.15,IN
169,petropavlovsk-kamchatsky,53.0452,158.6483,6.33,57,75,4.0,RU
170,ebaye,8.7748,167.7392,28.01,83,75,4.12,MH
171,san julian,21.0167,-102.1667,23.85,15,100,3.6,MX
172,imaricho-ko,33.2667,129.8833,17.87,78,100,1.91,JP
173,ust-tsilma,65.441,52.1498,2.25,100,100,2.63,RU
174,el nido,11.1858,119.3956,28.18,80,97,9.67,PH
175,ust'-kut,56.7938,105.7672,4.99,79,67,0.66,RU
176,pingyin,36.2831,116.4453,17.83,93,100,3.07,CN
177,rutland,43.6167,-73.0162,7.51,85,100,2.06,US
178,mirai,-21.1953,-42.6142,18.85,94,0,1.32,BR
179,avarua,-21.2078,-159.775,25.03,88,75,7.2,CK
180,east london,-33.0153,27.9116,17.36,84,0,2.94,ZA
181,newman,37.3138,-121.0208,16.13,80,100,0.89,US
182,kodiak,57.79,-152.4072,3.73,93,100,10.8,US
183,razole,16.4833,81.8333,27.14,79,80,2.55,IN
184,noosa heads,-26.3833,153.15,26.85,43,0,3.91,AU
185,taguatinga,-12.3857,-46.5711,25.5,52,69,0.2,BR
186,puerto ayacucho,5.6639,-67.6236,26.88,77,89,2.1,VE
187,pandan,14.0453,124.1694,28.61,78,100,5.45,PH
188,katima mulilo,-17.5,24.2667,13.67,54,0,0.66,NA
189,paranavai,-23.0731,-52.4653,19.1,88,33,1.48,BR
190,selfoss,63.9331,-20.9971,3.91,69,100,5.25,IS
191,frontera,26.9333,-101.45,30.86,48,75,5.14,MX
192,qarqaraly,49.4058,75.4742,2.7,48,3,3.49,KZ
193,nangka,9.4006,122.8169,29.02,71,100,3.76,PH
194,bni bouayach,35.1022,-3.841,16.31,77,84,1.03,MA
195,santa maria del oro,25.9333,-105.3667,23.9,20,100,5.32,MX
196,huesca,42.1362,-0.4087,15.38,62,0,5.14,ES
197,iskateley,67.6803,53.1512,0.23,96,100,4.52,RU
198,omdurman,15.6445,32.4777,27.71,9,11,5.24,SD
199,turpan,42.9333,89.1667,12.61,48,100,4.51,CN
200,changde,29.0464,111.6783,24.95,86,98,2.52,CN
201,anadyr,64.75,177.4833,-4.72,74,0,4.0,RU
202,pisco,-13.7,-76.2167,20.03,88,0,8.75,PE
203,kudamatsu,34.0,131.8667,19.98,67,100,4.06,JP
204,nueve de julio,-35.4444,-60.8831,9.42,64,0,3.16,AR
205,constitucion,-35.3333,-72.4167,11.48,65,0,2.31,CL
206,nouadhibou,20.931,-17.0347,20.99,64,100,5.66,MR
207,magdagachi,53.45,125.8,8.28,42,100,4.92,RU
208,krasnyy chikoy,50.3643,108.7512,6.78,32,100,2.01,RU
209,sitka,57.0531,-135.33,8.94,61,20,2.06,US
210,lapeer,43.0514,-83.3188,10.0,75,100,0.0,US
211,port shepstone,-30.7414,30.455,19.06,85,0,2.29,ZA
212,katsuura,35.1333,140.3,20.58,63,0,7.0,JP
213,tateyama,34.9833,139.8667,19.67,68,0,6.75,JP
214,coyhaique,-45.5752,-72.0662,11.34,76,75,2.06,CL
215,college,64.8569,-147.8028,7.97,50,75,5.14,US
216,grand falls-windsor,48.9332,-55.6649,3.61,93,100,1.34,CA
217,al ghayzah,16.2079,52.176,26.95,87,82,0.55,YE
218,margaret river,-33.95,115.0667,17.61,58,68,4.68,AU
219,weno,7.4515,151.8468,26.97,94,100,2.57,FM
220,thunder bay,48.4001,-89.3168,6.99,75,100,3.6,CA
221,kapit,2.0167,112.9333,30.88,66,90,0.47,MY
222,tura,25.5198,90.2201,24.26,76,47,1.44,IN
223,corinto,37.9407,22.9573,13.27,82,100,1.38,GR
224,praia da vitoria,38.7333,-27.0667,17.14,67,20,4.88,PT
225,zhangatas,43.5667,69.75,5.38,33,0,12.42,KZ
226,ocean shores,46.9737,-124.1563,12.75,86,100,6.69,US
227,manta,-0.95,-80.7333,26.88,78,40,2.06,EC
228,mount pearl,47.5166,-52.7813,3.41,97,100,4.12,CA
229,breckenridge,32.7557,-98.9023,26.11,50,0,4.63,US
230,saldanha,-33.0117,17.9442,15.13,88,13,5.24,ZA
231,moose jaw,50.4001,-105.5344,26.15,13,75,3.6,CA
232,yokadouma,3.5167,15.05,19.1,98,97,0.59,CM
233,atafu village,-8.5421,-172.5159,29.01,74,67,6.52,TK
234,colonia,50.9333,6.95,10.48,74,0,1.54,DE
235,opuwo,-18.0607,13.84,17.87,42,0,0.74,NA
236,hithadhoo,-0.6,73.0833,27.67,81,100,11.34,MV
237,kabompo,-13.5927,24.2008,11.95,75,0,2.23,ZM
238,muisne,0.6,-80.0333,26.73,87,100,2.95,EC
239,kwang binh,17.4833,106.6,31.24,64,15,2.68,VN
240,balaklava,44.5,33.6,11.06,64,78,1.87,UA
241,quelimane,-17.8786,36.8883,18.85,81,0,0.74,MZ
242,touros,-5.1989,-35.4608,25.81,82,13,3.79,BR
243,plainfield,40.6168,-74.4173,11.08,75,100,1.54,US
244,zhangjiakou,40.81,114.8794,18.63,54,96,4.44,CN
245,sisimiut,66.9395,-53.6735,0.77,96,100,9.88,GL
246,alofi,-19.0595,-169.9187,23.94,88,100,5.66,NU
247,sungai raya,0.7,108.9,29.97,68,60,0.69,ID
248,carnarvon,-24.8667,113.6333,25.97,47,4,3.12,AU
249,zeya,53.75,127.2667,10.03,46,97,6.3,RU
250,hashtrud,37.4779,47.0508,4.79,72,99,2.13,IR
251,jayapura,-2.5333,140.7,30.66,67,100,1.42,ID
252,puerto baquerizo moreno,-0.9,-89.6,26.9,79,18,3.1,EC
253,mutsu,41.2894,141.2169,18.85,44,14,8.33,JP
254,invercargill,-46.4,168.35,16.09,79,53,0.89,NZ
255,sao jose da coroa grande,-8.8978,-35.1478,25.29,87,84,2.74,BR
256,utrik,11.2278,169.8474,27.12,75,100,7.31,MH
257,gommern,52.0667,11.8333,4.47,85,16,1.52,DE
258,iquique,-20.2208,-70.1431,19.02,77,92,1.6,CL
259,leland,34.2563,-78.0447,17.01,46,0,3.6,US
260,garagoa,5.0824,-73.3633,14.65,97,81,1.33,CO
261,urangan,-25.3,152.9,23.94,40,2,1.77,AU
262,nizhniy odes,63.6445,54.856,2.6,100,100,3.31,RU
263,plettenberg bay,-34.0527,23.3716,15.24,87,11,2.08,ZA
264,port lincoln,-34.7333,135.8667,16.07,59,100,4.37,AU
265,borogontsy,62.6683,131.1683,1.94,79,87,3.78,RU
266,machico,32.7,-16.7667,19.35,73,20,3.09,PT
267,puerto lempira,15.2667,-83.7667,26.44,80,63,4.09,HN
268,kruisfontein,-34.0033,24.7314,12.71,82,0,2.71,ZA
269,vilaka,57.1846,27.6722,0.64,94,0,2.94,LV
270,bikenibeu village,1.3673,173.1241,30.98,70,40,3.09,KI
271,enewetak,11.3474,162.3373,27.21,78,100,8.5,MH
272,vadso,70.0744,29.7487,-2.51,74,100,6.69,NO
273,bhamo,24.2667,97.2333,30.18,43,9,1.29,MM
274,gamba,-2.65,10.0,25.77,90,98,0.92,GA
275,klamath falls,42.2249,-121.7817,14.36,48,40,6.17,US
